"Timestamp","edad","lugar_residencia","lugar_origen","trabaja","ingreso_mensual","familiares_graduados","familiares_misma_carrera","conocimiento_plan_estudios","asesoria_universitaria","conocimiento_areas_carrera","previo_test_vocacional","lugar_test_vocacional","momento_test_vocacional","resultados_congruentes_test","conocimiento_test_unah","razones_eleccion_carrera","satisfaccion_carrera","satisfaccion_docentes","motivacion","opcion_inicial_carrera","cambio_carrera","interes_herramienta_tecnologica","pensado_cambio_carrera","factores_no_cambio","veces _cambio_carrera","factores_cambio_carrera","nombre_carrera","multiple_carrera","nombre_opcion_carrera","año_carrera","procentaje_clases_cursadas","porcentaje_clases_facultad","porcentaje_clases_matematica","indice_academico","reprobado","año_reprobacion","reprobado_mas_de_dos","jornada","estudia_grupo","horas_estudio_diario","comunicación_oral_escrita ","relaciones_interpersonales ","creatividad","liderazgo","autodidacta","calculo_mental","resolucion_puzzles","juegos_estrategia","operaciones_matematicas"
"2020/04/14 3:34:11 p.m. GMT-5","21-24 años","Propia","Francisco Morazán","No","Mayor a 6000 L.","No","No","Si","Ferias Vocacionales","Si","Si","Colegio","Antes de cursar la carrera","Si","Si","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Muy satisfecho","Poco satisfecho",3,"Si","Sí","Si","","",1,"Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería en Sistemas","","Ingeniería Civil ",3,"20-50%","30-50%","0-30%","90-100","Si",1,"Si","Mañana;Tarde","Si","0-2 horas","Media","Media","Alta","Alta","Media","Medio","Medio","Medio","Medio"
"2020/04/14 3:35:26 p.m. GMT-5","21-24 años","Familiares","Francisco Morazán","No","0 - 3000 L.","Si","No","No","Ninguna","Si","Si","Colegio;Internet","Antes de cursar la carrera;Durante la carrera","No","Si","Interés general en el area de conocimiento;Beneficios económicos","Muy satisfecho","Poco satisfecho",5,"Si","No","Si","No","",NA,"","Ingeniería en Sistemas","Matematicas","Electrica",5,"mas de 50%","mas de 70%","mas de 70%","80-89","Si",1,"No","Mañana;Tarde","Si","2-4 horas","Muy alta","Muy alta","Media","Alta","Media","Alto","Medio","Alto","Muy alto"
"2020/04/14 3:36:14 p.m. GMT-5","25-28 años","Aquiler independiente","Francisco Morazán","Si","Mayor a 6000 L.","Si","No","No","Ferias Vocacionales","Si","Si","Departamento privado de psicología;Otro","Durante la carrera","Si","No","Interés general en el area de conocimiento","Poco satisfecho","Poco satisfecho",4,"Si","No","No","No","",NA,"","Ingeniería en Sistemas","Técnico en reded","No",3,"20-50%","30-50%","0-30%","<65","Si",1,"Si","Mañana","Tal vez","0-2 horas","Media","Alta","Muy alta","Alta","Muy alta","Muy alto","Alto","Alto","Medio"
"2020/04/14 3:38:37 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","Si","Mayor a 6000 L.","Si","Si","No","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento","Muy satisfecho","Muy satisfecho",4,"Si","No","Si","Sí","",NA,"","Ingeniería en Sistemas","","Ciencias jurídicas",5,"mas de 50%","mas de 70%","mas de 70%","70-79","Si",2,"Si","Noche","Tal vez","0-2 horas","Baja","Media","Baja","Muy Baja","Muy alta","Bajo","Medio","Medio","Medio"
"2020/04/14 3:39:35 p.m. GMT-5","25-28 años","Aquiler independiente","Francisco Morazán","No","0 - 3000 L.","Si","No","Si","Ferias Vocacionales","Si","No","","","","No","Interés general en el area de conocimiento;Demanda laboral","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No","",NA,"","Ingeniería en Sistemas","","",5,"mas de 50%","mas de 70%","mas de 70%","70-79","Si",2,"","Mañana;Noche","Si","0-2 horas","Muy alta","Muy alta","Alta","Muy alta","Alta","Alto","Alto","Alto","Alto"
"2020/04/14 3:40:02 p.m. GMT-5","mayor de 28","Propia","Francisco Morazán","Si","Mayor a 6000 L.","Si","No","Si","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento;Por conocer profesionales que ya trabajan en el area","Poco satisfecho","Poco satisfecho",4,"No","Sí","Si","","",1,"Factor económico","Ingeniería en Sistemas","","",5,"mas de 50%","mas de 70%","30-50%","80-89","Si",1,"No","Mañana;Noche","Si","2-4 horas","Alta","Muy alta","Alta","Muy alta","Muy alta","Muy alto","Muy alto","Muy alto","Muy alto"
"2020/04/14 3:40:08 p.m. GMT-5","25-28 años","Padres","Francisco Morazán","No","0 - 3000 L.","Si","Si","Si","Ferias Vocacionales","Si","Si","UNAH;Colegio","Antes de cursar la carrera","Si","Si","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No","",NA,"","Ingeniería en Sistemas","","Lenguas extranjeras, Física o matemáticas",5,"mas de 50%","mas de 70%","30-50%","70-79","Si",2,"No","Mañana;Tarde;Noche","Si","0-2 horas","Media","Muy Baja","Muy Baja","Alta","Muy Baja","Muy alto","Medio","Alto","Muy alto"
"2020/04/14 3:40:33 p.m. GMT-5","mayor de 28","Familiares","Francisco Morazán","No","0 - 3000 L.","Si","No","Si","Ninguna","Si","No","","","","No","Interés general en el area de conocimiento","No satisfecho","Nada satisfecho",1,"Si","No","Si","Sí","Estás realizando o vas a relizar un cambio de carrera;No cuentas con todos los requisitos para el proceso.",NA,"","Ingeniería en Sistemas","No","No",1,"0-20%","0-30%","0-30%","70-79","Si",1,"No","Mañana;Noche","Si","0-2 horas","Muy alta","Muy alta","Media","Alta","Alta","Medio","Alto","Medio","Medio"
"2020/04/14 3:40:38 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","Si","3000- 6000 L.","No","No","Si","Ferias Vocacionales","Si","No","","","","No","Interés general en el area de conocimiento","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","No","",NA,"","Ingeniería en Sistemas","No","No",3,"20-50%","0-30%","30-50%","70-79","Si",1,"No","Noche","Si","0-2 horas","Alta","Alta","Alta","Media","Muy alta","Alto","Alto","Alto","Alto"
"2020/04/14 3:40:49 p.m. GMT-5","21-24 años","Propia","Francisco Morazán","Si","Mayor a 6000 L.","Si","No","Si","Ferias Vocacionales","Si","Si","UNAH;Colegio;Internet","Antes de cursar la carrera;Durante la carrera","Si","No","Interés general en el area de conocimiento;Demanda laboral;Influencia familiar","Muy satisfecho","Muy satisfecho",4,"No","Sí","Si","","",1,"Influencia familiar;Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería en Sistemas","","Si, Adm. De empresas, Sociologia.",3,"20-50%","0-30%","mas de 70%","70-79","Si",2,"Si","Noche","Si","0-2 horas","Muy alta","Muy alta","Muy alta","Muy alta","Muy alta","Alto","Alto","Muy alto","Alto"
"2020/04/14 3:41:20 p.m. GMT-5","25-28 años","Aquiler independiente","Santa Bárbara","Si","Mayor a 6000 L.","Si","No","Si","Ninguna","Si","Si","UNAH","Durante la carrera","Si","Si","Interés general en el area de conocimiento;Demanda laboral","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","No","",NA,"","Ingeniería en Sistemas","","",4,"mas de 50%","30-50%","30-50%","70-79","Si",1,"Si","Noche","Si","2-4 horas","Muy alta","Muy alta","Alta","Muy alta","Alta","Muy alto","Muy alto","Muy alto","Muy alto"
"2020/04/14 3:43:09 p.m. GMT-5","21-24 años","Aquiler independiente","El Paraíso","Si","Mayor a 6000 L.","Si","Si","No","Ninguna","Si","No","","","","No","Influencia familiar","Poco satisfecho","Poco satisfecho",3,"No","Sí","Si","","",1,"Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería en Sistemas","No","Eléctrica ",5,"mas de 50%","mas de 70%","mas de 70%","80-89","Si",1,"No","Mañana","Tal vez","0-2 horas","Media","Alta","Media","Alta","Muy alta","Alto","Alto","Alto","Alto"
"2020/04/14 3:43:20 p.m. GMT-5","21-24 años","Aquiler independiente","Ocotepeque","No","0 - 3000 L.","Si","Si","Si","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento","Poco satisfecho","Muy satisfecho",3,"No","No","Si","No","",NA,"","Ingeniería en Sistemas","No","No, luego estudio psicología ",4,"mas de 50%","30-50%","30-50%","70-79","Si",1,"No","Mañana;Tarde;Noche","Tal vez","2-4 horas","Media","Baja","Media","Media","Media","Medio","Bajo","Medio","Bajo"
"2020/04/14 3:43:40 p.m. GMT-5","17-20 años","Aquiler independiente","Francisco Morazán","No","0 - 3000 L.","Si","No","No","Ninguna","No","No","","","","No","Interés general en el area de conocimiento;Beneficios económicos","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Sí","Recursos y tiempo invertidos en la carrera;Opinion familiar/amigos;Factor economico",NA,"","Ingeniería en Sistemas","","Física ",3,"mas de 50%","0-30%","30-50%","70-79","Si",2,"Si","Tarde","Si","2-4 horas","Alta","Baja","Baja","Baja","Alta","Muy alto","Medio","Alto","Alto"
"2020/04/14 3:46:14 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","No","0 - 3000 L.","Si","Si","Si","Ninguna","Si","No","","","","No","Interés general en el area de conocimiento","Muy satisfecho","Muy satisfecho",4,"No","Sí","Si","","",1,"Cambio de intereses personales;No era lo que esperaba","Ingeniería en Sistemas","Sí, Letras","No",4,"mas de 50%","50-70%","mas de 70%","80-89","Si",2,"No","Mañana;Tarde","Tal vez","mas de 4 horas","Muy alta","Alta","Media","Muy alta","Alta","Alto","Medio","Medio","Alto"
"2020/04/14 3:46:42 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","Si","3000- 6000 L.","No","No","Si","Ninguna","Si","No","","","","No","Interés general en el area de conocimiento;Beneficios económicos","Muy satisfecho","Muy satisfecho",4,"Si","No","Si","Tal vez","",NA,"","Ingeniería en Sistemas","","",2,"0-20%","0-30%","0-30%","70-79","Si",2,"No","Noche","Tal vez","0-2 horas","Alta","Alta","Alta","Muy alta","Muy alta","Alto","Muy alto","Muy alto","Alto"
"2020/04/14 3:46:52 p.m. GMT-5","21-24 años","Aquiler independiente","Francisco Morazán","No","3000- 6000 L.","No","No","Si","Ninguna","Si","No","","","","No","Interés general en el area de conocimiento;Beneficios económicos","Muy satisfecho","Muy satisfecho",3,"Si","No","Si","Sí","Recursos y tiempo invertidos en la carrera",NA,"","Ingeniería en Sistemas","No","Lenguas Extranjeras",3,"20-50%","30-50%","30-50%","70-79","Si",2,"No","Mañana;Tarde","Tal vez","2-4 horas","Baja","Muy Baja","Muy alta","Media","Media","Medio","Alto","Medio","Medio"
"2020/04/14 3:47:03 p.m. GMT-5","25-28 años","Familiares","Francisco Morazán","No","0 - 3000 L.","Si","No","No","Ferias Vocacionales;Orientacion  VOAE","Si","Si","UNAH;Departamento privado de psicología","Durante la carrera","Si","Si","Interés general en el area de conocimiento","No satisfecho","Poco satisfecho",5,"No","Sí","Si","","",1,"Cambio de intereses personales;No era lo que esperaba","Ingeniería en Sistemas","Ninguna","Matemáticas ",5,"mas de 50%","mas de 70%","mas de 70%","70-79","Si",2,"Si","Noche","Tal vez","0-2 horas","Alta","Baja","Alta","Alta","Muy alta","Alto","Alto","Alto","Alto"
"2020/04/14 3:47:28 p.m. GMT-5","21-24 años","Aquiler independiente","Ocotepeque","No","3000- 6000 L.","No","No","Si","Ninguna","Si","Si","","Antes de cursar la carrera","No","No","Interés general en el area de conocimiento","Muy satisfecho","Muy satisfecho",5,"Si","Sí","Si","","",2,"Cambio de intereses personales","Ingeniería en Sistemas","No","No",3,"20-50%","0-30%","mas de 70%","65-69","Si",2,"Si","Mañana","Si","0-2 horas","Baja","Media","Alta","Baja","Alta","Medio","Alto","Muy alto","Alto"
"2020/04/14 3:51:56 p.m. GMT-5","21-24 años","Propia","Yoro","Si","Mayor a 6000 L.","Si","No","Si","Ninguna","Si","No","","","","No","Interés general en el area de conocimiento","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Tal vez","Estás realizando o vas a relizar un cambio de carrera",NA,"","Ingeniería en Sistemas","No","No",1,"0-20%","0-30%","0-30%","65-69","Si",1,"Si","Tarde","Tal vez","0-2 horas","Muy alta","Alta","Alta","Muy alta","Alta","Muy alto","Muy alto","Muy alto","Alto"
"2020/04/14 3:53:52 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","No","0 - 3000 L.","No","No","Si","Ferias Vocacionales","Si","No","","","","No","Interés general en el area de conocimiento;Influencia familiar","Poco satisfecho","Poco satisfecho",3,"No","Sí","Si","","",1,"Influencia familiar;Cambio de intereses personales;Factor económico;No era lo que esperaba","Ingeniería en Sistemas","","Psicologia",3,"20-50%","0-30%","0-30%","65-69","Si",1,"Si","Mañana","Tal vez","0-2 horas","Alta","Media","Alta","Alta","Media","Medio","Alto","Medio","Medio"
"2020/04/14 3:57:37 p.m. GMT-5","21-24 años","Familiares","El Paraíso","No","3000- 6000 L.","Si","No","Si","Orientacion  VOAE","No","Si","Colegio","Antes de cursar la carrera","Si","Si","Interés general en el area de conocimiento","Muy satisfecho","Poco satisfecho",4,"Si","Sí","Si","","",1,"Cambio de intereses personales","Ingeniería en Sistemas","No","Ingeniería Mecánica",4,"mas de 50%","50-70%","0-30%","70-79","Si",1,"Si","Tarde","Tal vez","2-4 horas","Alta","Alta","Alta","Alta","Muy alta","Alto","Muy alto","Alto","Muy alto"
"2020/04/14 4:00:45 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","No","0 - 3000 L.","Si","No","Si","Ninguna","No","No","","","","No","Beneficios económicos","No satisfecho","Poco satisfecho",2,"No","No","Si","Sí","El sistema de cambio de carrera no te lo permite;No cuentas con todos los requisitos para el proceso.",NA,"","Ingeniería en Sistemas","","Astronomía y astrofísica",2,"0-20%","0-30%","30-50%","65-69","Si",1,"No","Mañana;Tarde","Tal vez","0-2 horas","Muy alta","Muy alta","Muy alta","Media","Alta","Medio","Alto","Medio","Muy alto"
"2020/04/14 4:00:59 p.m. GMT-5","21-24 años","Familiares","Francisco Morazán","No","0 - 3000 L.","Si","No","Si","Curso de induccion a la vida universitaria","Si","No","","","","Si","Demanda laboral;Beneficios económicos;Influencia familiar","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Sí","Tu edad;Recursos y tiempo invertidos en la carrera;Opinion familiar/amigos;Factor economico",NA,"","Ingeniería en Sistemas","","Diseño gráfico ",5,"mas de 50%","mas de 70%","mas de 70%","80-89","Si",1,"Si","Noche","Si","0-2 horas","Muy alta","Muy alta","Muy alta","Muy alta","Media","Alto","Alto","Muy alto","Medio"
"2020/04/14 4:04:34 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","Si","Mayor a 6000 L.","Si","No","No","Ferias Vocacionales","Si","No","","","","Si","Interés general en el area de conocimiento;Influencia familiar","Muy satisfecho","Muy satisfecho",4,"Si","No","No","Tal vez","Recursos y tiempo invertidos en la carrera",NA,"","Ingeniería en Sistemas","","",5,"mas de 50%","mas de 70%","mas de 70%","90-100","No",NA,"","Noche","Tal vez","0-2 horas","Media","Alta","Media","Media","Media","Medio","Medio","Bajo","Medio"
"2020/04/14 4:07:36 p.m. GMT-5","21-24 años","Familiares","Francisco Morazán","Si","Mayor a 6000 L.","No","No","No","Ferias Vocacionales","Si","No","","","","Si","Interés general en el area de conocimiento","Muy satisfecho","Poco satisfecho",3,"No","Sí","Si","","",1,"Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería en Sistemas","","",2,"0-20%","0-30%","50-70%","80-89","No",NA,"","Mañana","Si","0-2 horas","Media","Alta","Alta","Media","Alta","Medio","Alto","Medio","Alto"
"2020/04/14 4:07:41 p.m. GMT-5","25-28 años","Padres","Francisco Morazán","No","0 - 3000 L.","Si","No","No","Ninguna","Si","No","","","","Si","Demanda laboral","Poco satisfecho","Poco satisfecho",3,"No","No","Si","Sí","Recursos y tiempo invertidos en la carrera;El sistema de cambio de carrera no te lo permite;No cuentas con todos los requisitos para el proceso.",NA,"","Ingeniería en Sistemas","No","Ingenieria industrial",3,"mas de 50%","0-30%","0-30%","65-69","Si",2,"Si","Tarde","Tal vez","0-2 horas","Media","Muy alta","Muy alta","Muy alta","Alta","Alto","Muy alto","Muy alto","Muy alto"
"2020/04/14 4:08:26 p.m. GMT-5","21-24 años","Padres","Valle","No","0 - 3000 L.","Si","No","Si","Curso de induccion a la vida universitaria;Orientacion  VOAE","No","No","","","","No","Interés general en el area de conocimiento;Por conocer profesionales que ya trabajan en el area","Muy satisfecho","Nada satisfecho",3,"Si","No","Si","Sí","Opinion familiar/amigos;El sistema de cambio de carrera no te lo permite;No cuentas con todos los requisitos para el proceso.",NA,"","Ingeniería en Sistemas","No","Astronomía",3,"mas de 50%","30-50%","0-30%","65-69","Si",1,"Si","Tarde","No","2-4 horas","Media","Baja","Alta","Muy Baja","Muy alta","Alto","Medio","Muy alto","Bajo"
"2020/04/14 4:10:07 p.m. GMT-5","21-24 años","Familiares","Comayagua","No","3000- 6000 L.","Si","No","Si","Ninguna","Si","Si","UNAH","Durante la carrera","Si","Si","Interés general en el area de conocimiento;Demanda laboral","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","Tal vez","Recursos y tiempo invertidos en la carrera",NA,"","Ingeniería en Sistemas","No","Economía",5,"mas de 50%","mas de 70%","mas de 70%","80-89","No",NA,"","Noche","Tal vez","2-4 horas","Alta","Alta","Alta","Alta","Alta","Alto","Muy alto","Alto","Alto"
"2020/04/14 4:10:09 p.m. GMT-5","25-28 años","","Francisco Morazán","No","3000- 6000 L.","Si","No","Si","Ferias Vocacionales;Curso de induccion a la vida universitaria","Si","No","","","","No","Interés general en el area de conocimiento","Poco satisfecho","Poco satisfecho",3,"No","Sí","Si","","",1,"Cambio de intereses personales;Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería en Sistemas","No","Educacion fisica",2,"0-20%","0-30%","0-30%","<65","Si",2,"No","Mañana","Si","0-2 horas","Alta","Alta","Muy alta","Muy alta","Media","Muy alto","Alto","Alto","Alto"
"2020/04/14 4:11:08 p.m. GMT-5","21-24 años","","Francisco Morazán","Si","0 - 3000 L.","No","No","Si","Ninguna","No","No","","","","No","Interés general en el area de conocimiento","Poco satisfecho","Muy satisfecho",1,"Si","No","Si","Tal vez","Recursos y tiempo invertidos en la carrera",NA,"","Ingeniería en Sistemas","","No",2,"20-50%","0-30%","50-70%","70-79","Si",2,"No","Mañana","Tal vez","mas de 4 horas","Muy alta","Muy alta","Media","Alta","Alta","Muy alto","Alto","Muy alto","Medio"
"2020/04/14 4:11:56 p.m. GMT-5","25-28 años","Aquiler independiente","El Paraíso","No","3000- 6000 L.","No","No","Si","Ninguna","Si","Si","UNAH","Durante la carrera","Si","No","Demanda laboral;Beneficios económicos","Muy satisfecho","Poco satisfecho",4,"No","Sí","Si","","",1,"Factor económico","Ingeniería en Sistemas","No","Matemáticas ",5,"mas de 50%","mas de 70%","0-30%","80-89","Si",1,"No","Noche","Si","mas de 4 horas","Alta","Alta","Media","Media","Muy alta","Medio","Medio","Medio","Alto"
"2020/04/14 4:12:12 p.m. GMT-5","21-24 años","Propia","Francisco Morazán","No","0 - 3000 L.","Si","No","No","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento","Muy satisfecho","Poco satisfecho",4,"No","Sí","Si","","",1,"No era lo que esperaba;Rendimiento académico","Ingeniería en Sistemas","","",2,"20-50%","0-30%","mas de 70%","<65","Si",1,"Si","Mañana","No","0-2 horas","Alta","Alta","Alta","Alta","Alta","Alto","Alto","",""
"2020/04/14 4:12:28 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","No","0 - 3000 L.","Si","No","Si","Ninguna","Si","Si","Internet","Antes de cursar la carrera;Durante la carrera","Si","Si","Interés general en el area de conocimiento;Demanda laboral;Beneficios económicos","Poco satisfecho","Poco satisfecho",1,"Si","Sí","Si","","",1,"Factor económico;Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería en Sistemas","","Informática, educación física ",2,"20-50%","0-30%","30-50%","65-69","Si",2,"No","Tarde","Si","0-2 horas","Alta","Alta","Alta","Alta","Media","Medio","Medio","Alto","Medio"
"2020/04/14 4:12:40 p.m. GMT-5","21-24 años","Padres","Francisco Morazán","No","0 - 3000 L.","Si","No","No","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento","Poco satisfecho","Poco satisfecho",1,"Si","Sí","Si","","",1,"Falta de puntos para la carrera a la cual aplico en la PAA","Ingeniería en Sistemas","","Telecomunicaciones, electrónica ",1,"0-20%","0-30%","0-30%","65-69","Si",1,"No","Tarde","Si","0-2 horas","Alta","Alta","Alta","Alta","Media","Alto","Alto","Alto","Medio"
"2020/04/14 4:13:56 p.m. GMT-5","17-20 años","Padres","Francisco Morazán","No","0 - 3000 L.","Si","No","Si","Ninguna","Si","No","","","","Si","Interés general en el area de conocimiento","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","Tal vez","Recursos y tiempo invertidos en la carrera",NA,"","Ingeniería en Sistemas","No","Si, matemáticas ",2,"0-20%","0-30%","30-50%","65-69","Si",1,"Si","Tarde","Tal vez","2-4 horas","Alta","Media","Alta","Media","Alta","Medio","Alto","Alto","Alto"
