"Timestamp","edad","lugar_residencia","trabaja","ingreso_mensual","familiares_graduados","familiares_misma_carrera","conocimiento_plan_estudios","conocimiento_areas_carrera","previo_test_vocacional","momento_test_vocacional","resultados_congruentes_test","conocimiento_test_unah","satisfaccion_carrera","satisfaccion_docentes","motivacion","opcion_inicial_carrera","cambio_carrera","interes_herramienta_tecnologica","pensado_cambio_carrera","veces._cambio_carrera","nombre_carrera","nombre_opcion_carrera","año_carrera","procentaje_clases_cursadas","porcentaje_clases_facultad","porcentaje_clases_matematica","indice_academico","reprobado","año_reprobacion","reprobado_mas_de_dos","estudia_grupo","horas_estudio_diario","comunicación_oral_escrita.","relaciones_interpersonales.","creatividad","liderazgo","autodidacta","calculo_mental","resolucion_puzzles","juegos_estrategia","operaciones_matematicas","asesoria_universitaria","jornada","razones_eleccion_carrera","factores_no_cambio","factores_cambio_carrera","multiple_carrera","lugar_origen","lugar_test_vocacional"
"2020/04/14 3:34:11 p.m. GMT-5","21-24 años","Propia","No","Mayor a 6000 L.","No","No","Si","Si","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Poco satisfecho",3,"Si","Sí","Si","No aplica",1,"Ingeniería en Sistemas","Ingeniería Civil ",3,"20-50%","30-50%","0-30%","90-100","Si","1","Si","Si","0-2 horas","Media","Media","Alta","Alta","Media","Medio","Medio","Medio","Medio","Feria vocacional y Curso induccion","Doble Jornada","Demanda laboral y Beneficio economico","No aplica","Falta de puntos en la PAA","No","Centro Oriental","Colegio"
"2020/04/14 3:35:26 p.m. GMT-5","21-24 años","Familiares","No","0 - 3000 L.","Si","No","No","Si","Si","Antes de cursar la carrera;Durante la carrera","No","Si","Muy satisfecho","Poco satisfecho",5,"Si","No","Si","No",0,"Ingeniería en Sistemas","Electrica",5,"mas de 50%","mas de 70%","mas de 70%","80-89","Si","1","No","Si","2-4 horas","Muy alta","Muy alta","Media","Alta","Media","Alto","Medio","Alto","Muy alto","Ninguna","Doble Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","Si","Centro Oriental","Internet"
"2020/04/14 3:36:14 p.m. GMT-5","25-28 años","Aquiler independiente","Si","Mayor a 6000 L.","Si","No","No","Si","Si","Durante la carrera","Si","No","Poco satisfecho","Poco satisfecho",4,"Si","No","No","No",0,"Ingeniería en Sistemas","No",3,"20-50%","30-50%","0-30%","<65","Si","1","Si","Tal vez","0-2 horas","Media","Alta","Muy alta","Alta","Muy alta","Muy alto","Alto","Alto","Medio","Feria vocacional y Curso induccion","Unica Jornada","Vocación","No aplica","No aplica","Si","Centro Oriental","Otro"
"2020/04/14 3:38:37 p.m. GMT-5","21-24 años","Padres","Si","Mayor a 6000 L.","Si","Si","No","Si","No","No aplica","Si","Si","Muy satisfecho","Muy satisfecho",4,"Si","No","Si","Sí",0,"Ingeniería en Sistemas","Ciencias jurídicas",5,"mas de 50%","mas de 70%","mas de 70%","70-79","Si","2","Si","Tal vez","0-2 horas","Baja","Media","Baja","Muy Baja","Muy alta","Bajo","Medio","Medio","Medio","Ninguna","Unica Jornada","Vocación","No contestó","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 3:39:35 p.m. GMT-5","25-28 años","Aquiler independiente","No","0 - 3000 L.","Si","No","Si","Si","No","No aplica","Si","No","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No",0,"Ingeniería en Sistemas","No contestó",5,"mas de 50%","mas de 70%","mas de 70%","70-79","Si","2","Si","Si","0-2 horas","Muy alta","Muy alta","Alta","Muy alta","Alta","Alto","Alto","Alto","Alto","Feria vocacional y Curso induccion","Jornada completa","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 3:40:02 p.m. GMT-5","mayor de 28","Propia","Si","Mayor a 6000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Poco satisfecho","Poco satisfecho",4,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","No contestó",5,"mas de 50%","mas de 70%","30-50%","80-89","Si","1","No","Si","2-4 horas","Alta","Muy alta","Alta","Muy alta","Muy alta","Muy alto","Muy alto","Muy alto","Muy alto","Ninguna","Jornada completa","Vocación","No aplica","Factor económico","No","Centro Oriental","No aplica"
"2020/04/14 3:40:08 p.m. GMT-5","25-28 años","Padres","No","0 - 3000 L.","Si","Si","Si","Si","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No",0,"Ingeniería en Sistemas","Lenguas extranjeras, Física o matemáticas",5,"mas de 50%","mas de 70%","30-50%","70-79","Si","2","No","Si","0-2 horas","Media","Muy Baja","Muy Baja","Alta","Muy Baja","Muy alto","Medio","Alto","Muy alto","Feria vocacional y Curso induccion","Jornada completa","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental","UNAH"
"2020/04/14 3:40:33 p.m. GMT-5","mayor de 28","Familiares","No","0 - 3000 L.","Si","No","Si","Si","No","No aplica","Si","No","No satisfecho","Nada satisfecho",1,"Si","No","Si","Sí",0,"Ingeniería en Sistemas","No",1,"0-20%","0-30%","0-30%","70-79","Si","1","No","Si","0-2 horas","Muy alta","Muy alta","Media","Alta","Alta","Medio","Alto","Medio","Medio","Ninguna","Jornada completa","Vocación","Actualmente en proceso de cambio","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 3:40:38 p.m. GMT-5","21-24 años","Padres","Si","3000- 6000 L.","No","No","Si","Si","No","No aplica","Si","No","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","No",0,"Ingeniería en Sistemas","No",3,"20-50%","0-30%","30-50%","70-79","Si","1","No","Si","0-2 horas","Alta","Alta","Alta","Media","Muy alta","Alto","Alto","Alto","Alto","Feria vocacional y Curso induccion","Unica Jornada","Vocación","No aplica","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 3:40:49 p.m. GMT-5","21-24 años","Propia","Si","Mayor a 6000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera;Durante la carrera","Si","No","Muy satisfecho","Muy satisfecho",4,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","Si, Adm. De empresas, Sociologia.",3,"20-50%","0-30%","mas de 70%","70-79","Si","2","Si","Si","0-2 horas","Muy alta","Muy alta","Muy alta","Muy alta","Muy alta","Alto","Alto","Muy alto","Alto","Feria vocacional y Curso induccion","Unica Jornada","Influencia Familiar/Conocidos","No aplica","Influencia familiar","No","Centro Oriental","UNAH"
"2020/04/14 3:41:20 p.m. GMT-5","25-28 años","Aquiler independiente","Si","Mayor a 6000 L.","Si","No","Si","Si","Si","Durante la carrera","Si","Si","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","No",0,"Ingeniería en Sistemas","No contestó",4,"mas de 50%","30-50%","30-50%","70-79","Si","1","Si","Si","2-4 horas","Muy alta","Muy alta","Alta","Muy alta","Alta","Muy alto","Muy alto","Muy alto","Muy alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Noroccidental","UNAH"
"2020/04/14 3:43:09 p.m. GMT-5","21-24 años","Aquiler independiente","Si","Mayor a 6000 L.","Si","Si","No","Si","No","No aplica","Si","No","Poco satisfecho","Poco satisfecho",3,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","Eléctrica ",5,"mas de 50%","mas de 70%","mas de 70%","80-89","Si","1","No","Tal vez","0-2 horas","Media","Alta","Media","Alta","Muy alta","Alto","Alto","Alto","Alto","Ninguna","Unica Jornada","Influencia Familiar/Conocidos","No aplica","Falta de puntos en la PAA","No","Centro Oriental","No aplica"
"2020/04/14 3:43:20 p.m. GMT-5","21-24 años","Aquiler independiente","No","0 - 3000 L.","Si","Si","Si","Si","No","No aplica","Si","Si","Poco satisfecho","Muy satisfecho",3,"No","No","Si","No",0,"Ingeniería en Sistemas","No, luego estudio psicología ",4,"mas de 50%","30-50%","30-50%","70-79","Si","1","No","Tal vez","2-4 horas","Media","Baja","Media","Media","Media","Medio","Bajo","Medio","Bajo","Ninguna","Jornada completa","Vocación","No aplica","No aplica","No","Occidental","No aplica"
"2020/04/14 3:43:40 p.m. GMT-5","17-20 años","Aquiler independiente","No","0 - 3000 L.","Si","No","No","No","No","No aplica","Si","No","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Sí",0,"Ingeniería en Sistemas","Física ",3,"mas de 50%","0-30%","30-50%","70-79","Si","2","Si","Si","2-4 horas","Alta","Baja","Baja","Baja","Alta","Muy alto","Medio","Alto","Alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","Recursos y tiempo invertidos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 3:46:14 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","Si","Si","Si","Si","No","No aplica","Si","No","Muy satisfecho","Muy satisfecho",4,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","No",4,"mas de 50%","50-70%","mas de 70%","80-89","Si","2","No","Tal vez","mas de 4 horas","Muy alta","Alta","Media","Muy alta","Alta","Alto","Medio","Medio","Alto","Ninguna","Doble Jornada","Vocación","No aplica","Cambio de intereses personales","Si","Centro Oriental","No aplica"
"2020/04/14 3:46:42 p.m. GMT-5","21-24 años","Padres","Si","3000- 6000 L.","No","No","Si","Si","No","No aplica","Si","No","Muy satisfecho","Muy satisfecho",4,"Si","No","Si","Tal vez",0,"Ingeniería en Sistemas","No contestó",2,"0-20%","0-30%","0-30%","70-79","Si","2","No","Tal vez","0-2 horas","Alta","Alta","Alta","Muy alta","Muy alta","Alto","Muy alto","Muy alto","Alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No contestó","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 3:46:52 p.m. GMT-5","21-24 años","Aquiler independiente","No","3000- 6000 L.","No","No","Si","Si","No","No aplica","Si","No","Muy satisfecho","Muy satisfecho",3,"Si","No","Si","Sí",0,"Ingeniería en Sistemas","Lenguas Extranjeras",3,"20-50%","30-50%","30-50%","70-79","Si","2","No","Tal vez","2-4 horas","Baja","Muy Baja","Muy alta","Media","Media","Medio","Alto","Medio","Medio","Ninguna","Doble Jornada","Demanda laboral y Beneficio economico","Recursos y tiempo invertidos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 3:47:03 p.m. GMT-5","25-28 años","Familiares","No","0 - 3000 L.","Si","No","No","Si","Si","Durante la carrera","Si","Si","No satisfecho","Poco satisfecho",5,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","Matemáticas ",5,"mas de 50%","mas de 70%","mas de 70%","70-79","Si","2","Si","Tal vez","0-2 horas","Alta","Baja","Alta","Alta","Muy alta","Alto","Alto","Alto","Alto","Orientacion VOAE","Unica Jornada","Vocación","No aplica","Cambio de intereses personales","No","Centro Oriental","UNAH/Otro"
"2020/04/14 3:47:28 p.m. GMT-5","21-24 años","Aquiler independiente","No","3000- 6000 L.","No","No","Si","Si","Si","Antes de cursar la carrera","No","No","Muy satisfecho","Muy satisfecho",5,"Si","Sí","Si","No aplica",2,"Ingeniería en Sistemas","No",3,"20-50%","0-30%","mas de 70%","65-69","Si","2","Si","Si","0-2 horas","Baja","Media","Alta","Baja","Alta","Medio","Alto","Muy alto","Alto","Ninguna","Unica Jornada","Vocación","No aplica","Cambio de intereses personales","No","Occidental","No contestó"
"2020/04/14 3:51:56 p.m. GMT-5","21-24 años","Propia","Si","Mayor a 6000 L.","Si","No","Si","Si","No","No aplica","Si","No","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Tal vez",0,"Ingeniería en Sistemas","No",1,"0-20%","0-30%","0-30%","65-69","Si","1","Si","Tal vez","0-2 horas","Muy alta","Alta","Alta","Muy alta","Alta","Muy alto","Muy alto","Muy alto","Alto","Ninguna","Unica Jornada","Vocación","Actualmente en proceso de cambio","No aplica","No","Noroccidental","No aplica"
"2020/04/14 3:53:52 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","No","No","Si","Si","No","No aplica","Si","No","Poco satisfecho","Poco satisfecho",3,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","Psicologia",3,"20-50%","0-30%","0-30%","65-69","Si","1","Si","Tal vez","0-2 horas","Alta","Media","Alta","Alta","Media","Medio","Alto","Medio","Medio","Feria vocacional y Curso induccion","Unica Jornada","Influencia Familiar/Conocidos","No aplica","Influencia familiar","No","Centro Oriental","No aplica"
"2020/04/14 3:57:37 p.m. GMT-5","21-24 años","Familiares","No","3000- 6000 L.","Si","No","Si","No","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Poco satisfecho",4,"Si","Sí","Si","No aplica",1,"Ingeniería en Sistemas","Ingeniería Mecánica",4,"mas de 50%","50-70%","0-30%","70-79","Si","1","Si","Tal vez","2-4 horas","Alta","Alta","Alta","Alta","Muy alta","Alto","Muy alto","Alto","Muy alto","Orientacion VOAE","Unica Jornada","Vocación","No aplica","Cambio de intereses personales","No","Centro Oriental","Colegio"
"2020/04/14 4:00:45 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","Si","No","Si","No","No","No aplica","Si","No","No satisfecho","Poco satisfecho",2,"No","No","Si","Sí",0,"Ingeniería en Sistemas","Astronomía y astrofísica",2,"0-20%","0-30%","30-50%","65-69","Si","1","No","Tal vez","0-2 horas","Muy alta","Muy alta","Muy alta","Media","Alta","Medio","Alto","Medio","Muy alto","Ninguna","Doble Jornada","Demanda laboral y Beneficio economico","No cumple con requisitos requeridos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 4:00:59 p.m. GMT-5","21-24 años","Familiares","No","0 - 3000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Sí",0,"Ingeniería en Sistemas","Diseño gráfico ",5,"mas de 50%","mas de 70%","mas de 70%","80-89","Si","1","Si","Si","0-2 horas","Muy alta","Muy alta","Muy alta","Muy alta","Media","Alto","Alto","Muy alto","Medio","Feria vocacional y Curso induccion","Unica Jornada","Influencia Familiar/Conocidos","Recursos y tiempo invertidos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 4:04:34 p.m. GMT-5","21-24 años","Padres","Si","Mayor a 6000 L.","Si","No","No","Si","No","No aplica","Si","Si","Muy satisfecho","Muy satisfecho",4,"Si","No","No","Tal vez",0,"Ingeniería en Sistemas","No contestó",5,"mas de 50%","mas de 70%","mas de 70%","90-100","No","No aplica","Si","Tal vez","0-2 horas","Media","Alta","Media","Media","Media","Medio","Medio","Bajo","Medio","Feria vocacional y Curso induccion","Unica Jornada","Influencia Familiar/Conocidos","Recursos y tiempo invertidos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 4:07:36 p.m. GMT-5","21-24 años","Familiares","Si","Mayor a 6000 L.","No","No","No","Si","No","No aplica","Si","Si","Muy satisfecho","Poco satisfecho",3,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","No contestó",2,"0-20%","0-30%","50-70%","80-89","No","No aplica","Si","Si","0-2 horas","Media","Alta","Alta","Media","Alta","Medio","Alto","Medio","Alto","Feria vocacional y Curso induccion","Unica Jornada","Vocación","No aplica","Falta de puntos en la PAA","No","Centro Oriental","No aplica"
"2020/04/14 4:07:41 p.m. GMT-5","25-28 años","Padres","No","0 - 3000 L.","Si","No","No","Si","No","No aplica","Si","Si","Poco satisfecho","Poco satisfecho",3,"No","No","Si","Sí",0,"Ingeniería en Sistemas","Ingenieria industrial",3,"mas de 50%","0-30%","0-30%","65-69","Si","2","Si","Tal vez","0-2 horas","Media","Muy alta","Muy alta","Muy alta","Alta","Alto","Muy alto","Muy alto","Muy alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No cumple con requisitos requeridos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 4:08:26 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","Si","No","Si","No","No","No aplica","Si","No","Muy satisfecho","Nada satisfecho",3,"Si","No","Si","Sí",0,"Ingeniería en Sistemas","Astronomía",3,"mas de 50%","30-50%","0-30%","65-69","Si","1","Si","No","2-4 horas","Media","Baja","Alta","Muy Baja","Muy alta","Alto","Medio","Muy alto","Bajo","Orientacion VOAE","Unica Jornada","Vocación","No cumple con requisitos requeridos","No aplica","No","Sur","No aplica"
"2020/04/14 4:10:07 p.m. GMT-5","21-24 años","Familiares","No","3000- 6000 L.","Si","No","Si","Si","Si","Durante la carrera","Si","Si","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","Tal vez",0,"Ingeniería en Sistemas","Economía",5,"mas de 50%","mas de 70%","mas de 70%","80-89","No","No aplica","Si","Tal vez","2-4 horas","Alta","Alta","Alta","Alta","Alta","Alto","Muy alto","Alto","Alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","Recursos y tiempo invertidos","No aplica","No","Centro Occidental","UNAH"
"2020/04/14 4:10:09 p.m. GMT-5","25-28 años","No contestó","No","3000- 6000 L.","Si","No","Si","Si","No","No aplica","Si","No","Poco satisfecho","Poco satisfecho",3,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","Educacion fisica",2,"0-20%","0-30%","0-30%","<65","Si","2","No","Si","0-2 horas","Alta","Alta","Muy alta","Muy alta","Media","Muy alto","Alto","Alto","Alto","Feria vocacional y Curso induccion","Unica Jornada","Vocación","No aplica","Falta de puntos en la PAA","No","Centro Oriental","No aplica"
"2020/04/14 4:11:08 p.m. GMT-5","21-24 años","No contestó","Si","0 - 3000 L.","No","No","Si","No","No","No aplica","Si","No","Poco satisfecho","Muy satisfecho",1,"Si","No","Si","Tal vez",0,"Ingeniería en Sistemas","No",2,"20-50%","0-30%","50-70%","70-79","Si","2","No","Tal vez","mas de 4 horas","Muy alta","Muy alta","Media","Alta","Alta","Muy alto","Alto","Muy alto","Medio","Ninguna","Unica Jornada","Vocación","Recursos y tiempo invertidos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 4:11:56 p.m. GMT-5","25-28 años","Aquiler independiente","No","3000- 6000 L.","No","No","Si","Si","Si","Durante la carrera","Si","No","Muy satisfecho","Poco satisfecho",4,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","Matemáticas ",5,"mas de 50%","mas de 70%","0-30%","80-89","Si","1","No","Si","mas de 4 horas","Alta","Alta","Media","Media","Muy alta","Medio","Medio","Medio","Alto","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","Factor económico","No","Centro Oriental","UNAH"
"2020/04/14 4:12:12 p.m. GMT-5","21-24 años","Propia","No","0 - 3000 L.","Si","No","No","Si","No","No aplica","Si","Si","Muy satisfecho","Poco satisfecho",4,"No","Sí","Si","No aplica",1,"Ingeniería en Sistemas","No contestó",2,"20-50%","0-30%","mas de 70%","<65","Si","1","Si","No","0-2 horas","Alta","Alta","Alta","Alta","Alta","Alto","Alto","No contestó","No contestó","Ninguna","Unica Jornada","Vocación","No aplica","No era lo que esperaba","No","Centro Oriental","No aplica"
"2020/04/14 4:12:28 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera;Durante la carrera","Si","Si","Poco satisfecho","Poco satisfecho",1,"Si","Sí","Si","No aplica",1,"Ingeniería en Sistemas","Informática, educación física ",2,"20-50%","0-30%","30-50%","65-69","Si","2","No","Si","0-2 horas","Alta","Alta","Alta","Alta","Media","Medio","Medio","Alto","Medio","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","Falta de puntos en la PAA","No","Centro Oriental","Internet"
"2020/04/14 4:12:40 p.m. GMT-5","21-24 años","Padres","No","0 - 3000 L.","Si","No","No","Si","No","No aplica","Si","Si","Poco satisfecho","Poco satisfecho",1,"Si","Sí","Si","No aplica",1,"Ingeniería en Sistemas","Telecomunicaciones, electrónica ",1,"0-20%","0-30%","0-30%","65-69","Si","1","No","Si","0-2 horas","Alta","Alta","Alta","Alta","Media","Alto","Alto","Alto","Medio","Ninguna","Unica Jornada","Vocación","No aplica","Falta de puntos en la PAA","No","Centro Oriental","No aplica"
"2020/04/14 4:13:56 p.m. GMT-5","17-20 años","Padres","No","0 - 3000 L.","Si","No","Si","Si","No","No aplica","Si","Si","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","Tal vez",0,"Ingeniería en Sistemas","Si, matemáticas ",2,"0-20%","0-30%","30-50%","65-69","Si","1","Si","Tal vez","2-4 horas","Alta","Media","Alta","Media","Alta","Medio","Alto","Alto","Alto","Ninguna","Unica Jornada","Vocación","Recursos y tiempo invertidos","No aplica","No","Centro Oriental","No aplica"
"2020/04/14 4:14:09 p.m. GMT-5","21-24 años","Familiares","No","0 - 3000 L.","No","No","Si","Si","Si","Antes de cursar la carrera","Si","Si","Poco satisfecho","Poco satisfecho",4,"Si","Sí","Si","No aplica",1,"Ingeniería en Sistemas","Si... Radiología",3,"20-50%","0-30%","30-50%","80-89","Si","2","No","Si","mas de 4 horas","Media","Media","Media","Media","Media","Bajo","Medio","Medio","Medio","Orientacion VOAE","Doble Jornada","Demanda laboral y Beneficio economico","No aplica","Falta de puntos en la PAA","No","Centro Oriental","UNAH"
